NominalDiameter;OuterDiameter;WallThickness;InnerDiameter;CrossSectionArea;R;G;B;Price
32;32;3;26;0.000530929;228;214;112;5487
40;40;4;32;0.000804248;208;194;92;5515
50;50;4.5;41;0.001320254;188;174;72;5876
63;63;6;51;0.002042821;168;154;52;6668
