NominalDiameter;OuterDiameter;WallThickness;InnerDiameter;CrossSectionArea;R;G;B;Price
25;25;3.5;18;0.000254469;129;15;124;2155
32;32;4.4;23.2;0.000422733;134;62;153;2155
40;40;5.5;29;0.00066052;137;10;177;2655
50;50;6.9;36.2;0.001029217;140;150;198;2855
63;63;8.6;45.8;0.001647483;166;187;217;3055
75;75;10.3;54.4;0.002324276;134;159;213;3255
90;90;12.3;65.4;0.003359274;114;139;193;3528
110;110;15.1;79.8;0.005001447;94;119;173;3768
