NominalDiameter;OuterDiameter;WallThickness;InnerDiameter;CrossSectionArea
25;25;3.5;18;0.000254469
32;32;4.4;23.2;0.000422733
40;40;5.5;29;0.00066052
50;50;6.9;36.2;0.001029217
63;63;8.6;45.8;0.001647483
75;75;10.3;54.4;0.002324276
