M;B;D;D1;s;L;L1
350;100;560;225;70;1200;1000
400;100;630;225;70;1200;1050
125;125;250;250;70;1300;850
150;125;280;250;70;1300;850
200;125;355;250;70;1300;900
250;125;450;250;70;1300;950
300;125;500;250;70;1300;1000
350;125;560;250;70;1200;1000
400;125;630;250;70;1300;1050
150;150;280;280;70;1300;900
200;150;355;280;70;1300;950
250;150;450;280;70;1300;1000
300;150;500;280;70;1300;1000
350;150;560;280;70;1200;1050
400;150;630;280;70;1300;1100
200;200;355;355;70;1400;1000
250;200;450;355;70;1400;1050
300;200;500;355;70;1400;1050
350;200;560;355;70;1400;1100
400;200;630;355;70;1400;1150
250;250;450;450;70;1500;1100
300;250;500;450;70;1500;1100
350;250;560;450;70;1500;1150
400;250;630;450;70;1500;1200
300;300;500;500;70;1600;1150
350;300;560;500;70;1600;1200
400;300;630;500;70;1600;1250
350;350;560;560;70;1700;1250
400;350;630;560;70;1700;1300
400;400;630;630;70;1700;1350

20;20;125;125;70;1100;700
25;20;125;125;70;110;730
32;20;140;125;70;1100;735
40;20;140;125;70;110;735
50;20;160;125;70;1100;745
65;20;180;125;70;1100;755
80;20;200;125;70;1100;765
100;20;250;125;70;1100;790
125;20;280;125;70;1100;805
150;20;315;125;70;1100;825
200;20;400;125;70;1100;865
250;20;500;125;70;1100;915
300;20;560;125;70;1100;945
350;20;630;125;70;1100;980
400;20;710;125;70;1100;1000
25;25;125;125;70;1100;730
32;25;140;125;70;1100;735
40;25;140;125;70;1100;735
50;25;160;125;70;1100;745
65;25;180;125;70;1100;755
80;25;200;125;70;1100;765
100;25;250;125;70;1100;790
125;25;280;125;70;1100;805
150;25;315;125;70;1100;825
200;25;400;125;70;1100;865
250;25;500;125;70;1100;915
300;25;560;125;70;1100;945
350;25;630;125;70;1100;980
400;25;710;125;70;1100;1000
32;32;140;140;70;1100;745
40;32;140;140;70;1100;745
50;32;160;140;70;1100;755
65;32;180;140;70;1100;765
80;32;200;140;70;1100;775
100;32;250;140;70;1100;800
125;32;280;140;70;1100;815
150;32;315;140;70;1100;830
200;32;400;140;70;1100;875
250;32;500;140;70;1100;925
300;32;560;140;70;1100;955
350;32;630;140;70;1100;990
400;32;710;140;70;1100;1010
40;40;140;140;70;1100;745
50;40;160;140;70;1100;755
65;40;180;140;70;1100;765
80;40;200;140;70;1100;775
100;40;250;140;70;1100;800
125;40;280;140;70;1100;815
150;40;315;140;70;1100;830
200;40;400;140;70;1100;875
250;40;500;140;70;1100;925
300;40;560;140;70;1100;955
350;40;630;140;70;1100;990
400;40;710;140;70;1100;1010
50;50;160;160;70;1100;765
65;50;180;160;70;1100;775
80;50;200;160;70;1100;785
100;50;250;160;70;1100;810
125;50;280;160;70;1100;825
150;50;315;160;70;1100;840
200;50;400;160;70;1100;885
250;50;500;160;70;1100;935
300;50;560;160;70;1100;965
350;50;630;160;70;1100;1000
400;50;710;160;70;1100;1020
65;65;180;180;70;1100;785
80;65;200;180;70;1100;795
100;65;250;180;70;1100;820
125;65;280;180;70;1100;835
150;65;315;180;70;1100;850
200;65;400;180;70;1100;895
250;65;500;180;70;1100;945
300;65;560;180;70;1100;965
350;65;630;180;70;1100;1010
400;65;710;180;70;1100;1030
80;80;200;200;70;1200;800
100;80;250;200;70;1200;850
125;80;280;200;70;1200;850
150;80;315;200;70;1200;850
200;80;400;200;70;1200;950
250;80;500;200;70;1200;1000
300;80;560;200;70;1200;1000
350;80;630;200;70;1200;1050
400;80;710;200;70;1200;1050
100;100;250;250;70;1200;850
125;100;280;250;70;1200;900
150;100;315;250;70;1200;900
200;100;400;250;70;1200;950
250;100;500;250;70;1200;1000
300;100;560;250;70;1200;1000
350;100;630;250;70;1200;1050
400;100;710;250;70;1200;1100
125;125;280;280;70;1300;900
150;125;315;280;70;1300;950
200;125;400;280;70;1300;1000
250;125;500;280;70;1300;1050
300;125;560;280;70;1300;1050
350;125;630;280;70;1300;1100
400;125;710;280;70;1300;1100
150;150;315;315;70;1300;950
200;150;400;315;70;1300;1000
250;150;500;315;70;1300;1050
300;150;560;315;70;1300;1050
350;150;630;315;70;1300;1100
400;150;710;315;70;1300;1150
200;200;400;400;70;1400;1050
250;200;500;400;70;1400;1100
300;200;560;400;70;1400;1150
350;200;630;400;70;1400;1150
400;200;710;400;70;1400;1200
250;250;500;500;70;1500;1200
300;250;560;500;70;1500;1200
350;250;630;500;70;1500;1250
400;250;710;500;70;1500;1250
300;300;560;560;70;1600;1250
350;300;630;560;70;1600;1300
400;300;710;560;70;1600;1300
350;350;630;630;70;1700;1350
400;350;710;630;70;1700;1350
400;400;710;710;70;1700;1400
