DN;Variant;Element;Type;EndPoint1;EndPoint2;CentrePoint
50;V2;pipe;RETUR;101.3 1000 -5200;600 1000 -5200;
50;V4;pipe;RETUR;600 0 -5159.9;600 924 -5159.9;
50;V4;pipe;RETUR;0 1000 -5200;498.6 1000 -5200;
40;V1;pipe;RETUR;0 0 -5166.3;0 683 -5166.4;
40;V1;pipe;RETUR;77.1 740 -5200;600 740 -5200;
40;V3;pipe;RETUR;600 0 -5166.3;600 683 -5166.4;
40;V3;pipe;RETUR;522.9 740 -5200;0 740 -5200;
40;V2;pipe;RETUR;0 943 -5166.4;0 0 -5166.3;
40;V2;pipe;RETUR;77.1 1000 -5200;600 1000 -5200;
40;V4;pipe;RETUR;600 943 -5166.4;600 0 -5166.3;
40;V4;pipe;RETUR;522.9 1000 -5200;0 1000 -5200;
32;V1;pipe;RETUR;0 0 -5169.3;0 692 -5169.3;
32;V1;pipe;RETUR;600 740 -5200;65.6 740 -5200;
32;V3;pipe;RETUR;600 0 -5169.3;600 692 -5169.3;
32;V3;pipe;RETUR;534.4 740 -5200;0 740 -5200;
32;V2;pipe;RETUR;0 952 -5169.3;0 0 -5169.3;
32;V2;pipe;RETUR;65.6 1000 -5200;600 1000 -5200;
32;V4;pipe;RETUR;600 952 -5169.3;600 0 -5169.3;
32;V4;pipe;RETUR;534.4 1000 -5200;0 1000 -5200;
25;V1;pipe;RETUR;0 0 -5173.6;0 722 -5173.6;
25;V1;pipe;RETUR;52.4 760 -5200;600 760 -5200;
25;V3;pipe;RETUR;600 0 -5173.6;600 722 -5173.6;
25;V3;pipe;RETUR;547.6 760 -5200;0 760 -5200;
25;V2;pipe;RETUR;0 0 -5173.6;0 962 -5173.6;
25;V2;pipe;RETUR;52.4 1000 -5200;600 1000 -5200;
25;V4;pipe;RETUR;600 0 -5173.6;600 962 -5173.6;
25;V4;pipe;RETUR;0 1000 -5200;547.6 1000 -5200;
20;V1;pipe;RETUR;0 722 -5177.1;0 0 -5177;
20;V1;pipe;RETUR;600 760 -5200;51.6 760 -5200;
20;V3;pipe;RETUR;600 0 -5177;600 722 -5177.1;
20;V3;pipe;RETUR;0 760 -5200;548.4 760 -5200;
20;V2;pipe;RETUR;0 962 -5177.1;0 0 -5177;
20;V2;pipe;RETUR;600 1000 -5200;51.6 1000 -5200;
20;V4;pipe;RETUR;600 0 -5177;600 962 -5177.1;
20;V4;pipe;RETUR;0 1000 -5200;548.4 1000 -5200;
